4000 7 1
62.59 463.135 40.471 199.893 32.402 787.549 319.215 ; 1
62.805 464.218 39.809 197.587 30.718 790.599 316.394 ; 0
62.694 464.393 39.552 199.694 30.55 788.279 316.113 ; 1
62.737 462.896 99999 196.543 31.434 789.439 317.593 ; 1
62.831 465.137 39.544 198.065 30.383 790.857 315.834 ; 2
62.656 463.208 39.821 199.137 31.236 788.875 317.262 ; 2
62.816 462.934 39.913 199.84 31.17 790.175 317.152 ; 2
62.69 464.828 40.104 200.09 30.702 789.007 316.368 ; 0
62.663 466.223 39.481 198.387 30.526 789.115 316.073 ; 2
62.716 465.92 39.937 200.336 30.704 789.615 316.371 ; 0
62.663 466.905 39.76 200.112 29.804 792.055 314.865 ; 1
62.818 463.285 39.719 198.199 31.73 788.348 318.09 ; 0
62.882 465.589 39.697 196.626 30.17 791.219 315.477 ; 0
62.895 465.33 40.094 199.259 31.191 790.208 317.187 ; 0
62.665 465.467 39.461 198.938 31.669 791.732 317.987 ; 0
62.902 465.326 40.318 197.944 30.721 789.361 316.4 ; 2
62.753 464.692 40.148 199.35 30.331 789.631 315.747 ; 1
62.823 464.581 39.583 196.546 30.549 791.987 316.113 ; 2
62.735 463.568 39.425 197.818 31.021 790.454 316.902 ; 2
62.821 463.875 39.886 199.511 30.214 787.392 315.552 ; 1
62.547 461.922 40.295 197.518 31.035 791.274 316.926 ; 0
62.737 465.377 39.751 199.638 30.422 790.603 315.898 ; 1
62.934 464.709 39.661 199.798 30.007 789.904 315.204 ; 1
62.809 463.629 39.104 199.527 31.544 790.102 317.778 ; 2
62.663 464.692 39.268 198.644 31.727 788.613 318.084 ; 0
62.658 465.649 40.382 197.347 31.609 789.378 317.886 ; 2
62.823 464.306 40.088 199.193 31.686 788.377 318.015 ; 1
62.767 464.991 40.361 198.127 30.811 787.746 316.55 ; 2
62.794 465.185 38.74 200.027 31.834 789.363 318.264 ; 2
62.635 464.874 39.388 198.784 30.786 790.162 316.508 ; 1
62.726 464.308 39.528 198.356 30.601 789.011 316.199 ; 2
62.506 465.761 39.306 197.508 31.538 791.444 317.768 ; 2
62.728 464.921 40.278 197.817 30.918 790.764 316.73 ; 1
62.84 464.707 40.06 197.334 30.854 789.259 316.623 ; 2
62.74 463.833 39.708 198.797 32.036 790.664 318.602 ; 2
62.6 465.048 39.644 200.02 99999 788.788 316.184 ; 1
62.575 465.795 40.88 197.099 30.612 788.311 316.217 ; 2
62.617 462.126 39.816 199.127 32.489 790.381 319.361 ; 1
62.742 465.726 40.507 199.942 30.588 788.339 316.177 ; 2
62.865 465.107 40.424 99999 32.247 790.399 318.955 ; 0
62.579 462.53 39.344 198.803 31.243 789.987 317.274 ; 2
62.518 465.29 39.394 199.502 30.552 789.979 316.117 ; 1
62.721 466.12 39.785 198.293 29.741 790.833 314.759 ; 0
62.608 465.045 39.848 198.82 30.845 788.616 316.608 ; 1
62.514 465.086 40.899 198.806 32.062 787.601 318.646 ; 0
62.728 465.716 39.942 197.948 30.865 792.423 316.641 ; 0
62.895 464.141 39.941 197.697 30.369 790.562 315.81 ; 2
62.608 466.571 40.116 197.573 32.113 788.88 318.731 ; 0
62.898 464.039 40.393 199.241 31.5 788.026 317.704 ; 0
62.768 462.09 40.091 197.926 32.303 790.012 319.048 ; 1
62.462 463.052 39.444 198.41 29.818 792.996 314.889 ; 2
62.776 465.282 40.235 197.803 30.866 791.276 316.643 ; 0
62.867 465.135 40.814 198.507 30.271 786.298 315.646 ; 1
62.626 466.331 39.619 199.058 30.393 788.066 315.851 ; 2
62.577 463.867 39.484 199.849 31.368 792.271 317.484 ; 0
62.67 464.787 40.608 197.903 30.476 790.939 315.99 ; 0
62.625 465.744 39.659 197.366 32.716 788.325 319.741 ; 0
62.542 464.416 39.842 197.311 32.14 790.575 318.775 ; 2
62.672 465.653 40.509 199.491 29.866 789.851 314.968 ; 0
