4000 7 1
0.349 -2.032 -1.197 3.48 -4.298 -1.142 -2.744 ; 1
0.574 1.665 0.258 -0.027 1.945 2.554 -2.985 ; 1
0.799 -2.028 1.43 0.395 2.786 -1.139 -1.825 ; 0
2.113 0.132 0.374 2.083 -0.99 1.021 -2.483 ; 2
1.605 -0.163 2.665 0.773 1.821 0.726 -1.839 ; 0
-0.081 -0.097 -0.873 0.021 0.259 0.792 -0.952 ; 1
-0.816 1.414 2.33 -0.836 -0.829 2.303 0.268 ; 1
1.658 1.082 0.848 -2.168 1.183 1.971 -1.156 ; 1
-0.617 0.951 -0.329 -0.718 4.412 1.84 -0.573 ; 2
1.638 -1.423 0.84 -0.946 -1.023 -0.533 0.917 ; 0
2.387 0.109 1.683 1.284 -0.496 0.998 0.812 ; 1
1.383 2.166 -0.346 1.391 0.111 3.055 -0.479 ; 1
-1.069 -1.595 -0.287 -3.22 2.654 -0.705 0.207 ; 1
0.399 -4.03 1.113 -1.461 2.508 -3.141 -1.159 ; 1
0.097 -1.247 1.756 -1.082 -0.884 -0.357 0.031 ; 2
1.862 -0.886 -0.032 -1.964 -1.187 0.003 -2.239 ; 0
0.566 0.012 0.967 4.101 1.492 0.901 -4.468 ; 0
1.864 -2.602 0.124 1.094 -0.447 -1.713 -1.778 ; 2
0.828 -3.411 0.461 -1.354 -1.51 -2.522 1.012 ; 2
2.609 0.312 0.848 1.866 -1.169 1.202 -1.723 ; 2
2.091 -2.927 -1.202 0.022 -0.819 -2.038 0.599 ; 0
0.441 1.709 0.404 -2.114 2.495 2.598 -0.583 ; 0
-0.147 1.762 -1.092 0.347 1.465 2.651 -2.01 ; 1
-1.127 -3.042 0.949 0.125 -0.996 -2.153 1.716 ; 2
2.613 1.518 -0.382 3.232 -1.111 2.407 -1.938 ; 2
1.683 0.493 -1.284 3.42 1.055 1.382 -2.892 ; 0
-1.821 3.284 1.053 1.33 -1.284 4.173 -0.469 ; 1
3.599 0.577 -0.515 2.416 -0.809 1.466 -1.459 ; 2
-0.633 -2.233 0.317 -2.783 0.515 -1.344 -0.532 ; 0
1.327 0.214 0.806 -1.376 2.498 1.103 0.56 ; 0
2.888 -0.046 1.053 1.089 -0.171 0.843 -1.317 ; 2
-1.567 3.459 -0.202 0.75 2.726 4.348 -1.684 ; 1
-0.452 1.086 0.346 -0.196 -0.506 1.975 -2.265 ; 0
1.762 -1.22 0.766 -2.467 1.733 -0.331 -3.252 ; 1
1.983 -0.412 0.061 0.993 0.048 0.477 -1.583 ; 2
-0.453 2.312 0.889 1.801 0.642 3.201 -2.233 ; 1
2.314 2.01 -0.739 3.843 0.47 2.899 -3.465 ; 0
1.767 -0.4 0.419 -2.6 -0.824 0.49 -3.002 ; 0
1.362 0.109 -1.833 -0.578 -1.601 0.998 -0.76 ; 2
4.162 0.007 -0.483 0.503 -3.293 0.896 -3.619 ; 0
0.984 -2.562 1.529 0.481 0.795 -1.673 -1.333 ; 1
-4.008 -2.612 1.021 -1.587 -0.059 -1.723 -1.921 ; 2
1.129 0.27 0.673 1.312 0.091 1.159 -2.394 ; 2
2.966 1.886 -1.37 -3.625 1.169 2.775 -2.42 ; 1
-1.353 -1.294 1.752 -2.511 -2.541 -0.405 -2.707 ; 0
0.863 -0.564 -0.054 3.839 1.961 0.325 -4.405 ; 0
2.517 -1.993 0.502 0.903 1.306 -1.104 -1.405 ; 2
0.257 -2.81 1.665 -0.516 1.378 -1.921 -2.799 ; 1
0.929 -1.136 -0.258 -1.571 1.668 -0.247 -1.328 ; 1
1.454 0.728 -0.753 1.794 -1.07 1.617 -1.773 ; 2
-0.518 -0.785 1.231 -1.206 -1.042 0.105 -1.837 ; 0
-1.353 -0.205 0.586 -0.799 1.728 0.685 -1.982 ; 2
1.854 -1.989 1.206 2.349 -1.674 -1.1 -2.131 ; 2
-1.756 -0.993 0.521 -2.569 2.222 -0.104 -2.558 ; 2
2.021 -2.817 -0.102 0.822 -0.335 -1.927 1.483 ; 0
0.056 -0.203 0.299 -0.284 -0.227 0.686 -2.296 ; 0
1.143 -2.5 1.144 -2.446 -0.181 -1.611 -1.786 ; 0
1.902 -1.233 -0.112 1.934 -0.268 -0.344 1.516 ; 0
-1.865 -0.552 0.271 -0.923 2.302 0.337 -1.193 ; 2
2.168 -1.224 1.291 1.745 -0.733 -0.335 0.867 ; 1
2.688 -0.533 1.932 1.737 -1.305 0.356 -0.44 ; 2
-0.371 0.782 -0.902 0.599 -0.216 1.671 -2.159 ; 1
2.215 -1.32 1.217 2.976 1.621 -0.431 -0.671 ; 1
2.549 0.496 0.385 -1.519 -1.633 1.385 1.465 ; 2
-1.864 -0.28 0.09 -0.779 -0.079 0.61 -0.287 ; 2
1.93 -2.99 1.115 0.248 0.627 -2.101 0.479 ; 0
3.425 -0.153 1.315 -1.565 1.63 0.736 1.476 ; 0
1.323 -2.282 -0.647 0.847 1.395 -1.393 -1.245 ; 1
0.947 -2.302 1.036 -1.709 2.564 -1.413 1.532 ; 1
2.052 -3.867 0.927 -1.214 -0.686 -2.977 0.835 ; 0
1.283 0.961 0.887 -0.695 -2.211 1.85 -1.82 ; 0
2.542 -0.724 1.276 1.499 -0.092 0.165 -2.539 ; 2
2.334 -1.188 0.33 1.888 1.036 -0.299 -1.667 ; 2
1.373 -0.721 -0.613 -1.573 -0.269 0.168 -2.166 ; 2
-0.421 1.695 0.648 -1.689 -2.529 2.584 4.085 ; 1
-0.944 -0.453 1.093 0.528 -0.703 0.436 -2.103 ; 0
-2.076 -2.729 0.113 -0.668 -3.01 -1.84 2.755 ; 2
4.659 -0.589 1.814 1.832 0.507 0.3 -1.551 ; 2
2.056 -1.038 0.97 -0.423 0.74 -0.149 -1.04 ; 1
2.325 1.075 -1.549 0.742 -0.659 1.964 0.201 ; 1
3.023 -0.392 -1.178 0.881 -1.155 0.497 -0.092 ; 2
1.165 1.948 0.484 3.274 -1.556 2.837 -2.004 ; 2
4.128 1.334 -1.238 2.439 -2.33 2.223 -0.66 ; 2
-0.286 0.597 0.965 0.587 -0.789 1.486 -1.501 ; 1
0.738 -0.103 0.617 0.477 2.628 0.786 1.05 ; 0
2.424 1.176 0.857 0.783 0.281 2.065 -1.083 ; 2
3.638 -1.866 -0.999 0.952 2.264 -0.977 -3.311 ; 1
0.897 0.263 0.48 -0.08 -0.525 1.152 -0.025 ; 0
2.373 0.566 1.196 -0.647 -0.567 1.455 -0.395 ; 2
-0.019 3.218 1.093 -1.312 1.445 4.107 -2.198 ; 1
2.265 -0.092 -0.406 0.194 1.903 0.797 -1.273 ; 0
-1.894 1.301 -1.677 0.061 1.025 2.191 -0.745 ; 0
-1.444 0.391 1.124 -1.698 -2.324 1.28 0.426 ; 2
-1.614 3.433 0.73 -0.303 1.581 4.322 -1.42 ; 1
-0.235 -0.637 0.193 2.33 -3.604 0.252 -0.685 ; 1
-0.394 -0.384 1.829 0.75 2.839 0.505 0.496 ; 0
0.919 -0.551 -0.883 1.071 2.129 0.338 -2.848 ; 1
2.118 -0.158 1.17 0.542 1.873 0.731 -1.472 ; 0
1.225 1.062 1.637 -0.441 -1.032 1.951 1.504 ; 2
-0.364 0.809 -0.328 -1.102 1.227 1.698 1.263 ; 0
0.405 1.152 0.604 -2.737 0.653 2.041 -0.874 ; 0
0.925 -2.939 1.676 -3.308 -1.574 -2.049 -0.345 ; 0
-0.12 2.345 2.806 0.965 1.614 3.234 -1.725 ; 1
0.06 -2.13 -0.713 1.291 -1.376 -1.241 1.315 ; 0
1.524 -1.535 0.677 -2.486 -0.465 -0.646 -2.879 ; 0
0.025 0.865 -1.555 -0.914 1.697 1.754 0.261 ; 0
4.407 -3.515 0.544 -2.139 2.63 -2.625 1.806 ; 1
1.678 -0.852 0.796 -0.238 0.023 0.037 -1.146 ; 0
-0.497 -0.538 0.652 -2.091 -2.161 0.351 -2.385 ; 0
0.498 -0.543 1.379 -0.364 2.037 0.346 1.199 ; 0
4.307 -2.739 -1.151 0.86 2.29 -1.85 1.966 ; 0
0.043 0.959 1.453 -0.889 0.008 1.848 -0.289 ; 0
4.541 -1.102 1.101 1.001 1.425 -0.213 -0.674 ; 1
-1.019 -0.418 0.495 -0.274 1.505 0.471 -0.277 ; 2
-0.305 0.693 -1.644 -0.993 2.968 1.582 -0.739 ; 2
-3.853 -1.987 0.606 -2.578 3.092 -1.097 -1.2 ; 2
1.333 0.868 0.587 4.204 1.082 1.757 -4.252 ; 0
0.947 0.597 0.752 0.017 -1.747 1.486 -0.346 ; 1
3.924 0.097 0.554 -0.354 -0.148 0.986 -0.23 ; 2
0.324 -0.769 0.394 -0.738 1.069 0.12 -0.726 ; 1
1.455 1.949 1.776 -0.716 -1.56 2.838 -2.324 ; 0
-0.689 -2.492 0.156 -0.406 -2.231 -1.603 -1.782 ; 2
